date,Time precision,country,Country ISO,Latitude,Longitude,Geo precision,Admin 1,Location where sexual violence was committed,Event Description,Reported Perpetrator,Perpetrator Group Name,Single and group perpetrators ,Weapon Carried/Used,Survivor or Victim,Survivor Or Victim Sex,Adult or Minor ,Type,SV Context,Classification,Number of reported victims,Reported deaths following the sexual violence,SiND Event ID
#date +occurred,,#country,#country_ISO,#geo +lac,#geo +lon,,#adm1,#loc,,#group +perp,#group +perp +name,,#weapons,,#sex,,,,,,,
30/08/2020,Exact Date,DRC,COD,2.76379153,27.61193855,(1)Exact location,Upper Uele,School,30 August 2020: a group of armed men broke into a building whith students and raped at least one girl during an attack. Students were robbed of phones and other goods.,NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,CRSV,Mass SV assault,2,,25807
31/08/2020,Exact Date,DRC,COD,-3.080180315,28.44223164,"(3)District, Communicipality or Commune ",South Kivu,No information ,"August 2020: In South Kivu province, a girl was raped during an attack by Ngumino, Twiganeho, and Makanika fighters on FARDC positions in the area.",Multiple,"Forces arm̩es de la R̩publique d̩mocratique du Congo, Mai Mai militia",Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,CRSV,Gang SV assault,1,,25808
08/08/2020,Exact Date,South Sudan,SSD,7.950436835,28.65818279,"(3)District, Communicipality or Commune ",Warrap,No information ,"August 2020: In Warrap state, soldiers sexually assaulted several women during clashes with armed youth. One woman was gang-raped by 10 soldiers.",State military,South Sudan People's Defence Force,Group perpetrator,Firearms,Civilian ,Female,"Adult, ","Rape, SexualAssault",SV by security personnel,Mass SV assault,2,,25832
04/08/2020,Exact Date,South Sudan,SSD,5.315235907,30.31324088,(2)25 km precision ,Western Equatoria,Victims home ,"August 2020: In Western Equatoria state, eight armed men - four in military uniform - looted a house and raped two female teenagers at gunpoint. Three phones, solar panels and money were looted. Six men have been arrested.",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,CRSV,Mass SV assault,2,,25833
19/08/2020,Exact Date,Sudan,SDN,13.64732136,23.93841551,"(3)District, Communicipality or Commune ",North Darfur State,"Street, road or field ","August 2020: In North Darfur state, four armed pastoralists severely beat and attempted to rape a female farmer.",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",AttemptedSexualAssault,CRSV,Gang SV assault,1,,25834
09/09/2020,Close -The exact date is within 2-6 days of the indicated date,DRC,COD,1.450315043,29.86983504,(2)25 km precision ,Ituri,"Street, road or field ",Around 09 September 2020: At least four IDP women were raped by armed militiamen while working in the fields. ,NSA,Militia,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,5,,25866
11/09/2020,Exact Date,DRC,COD,-4.404541851,15.35000335,(1)Exact location,Kisenso,Hospital or clinic  ,11 September 2020: 14 men armed with blades raped at least two nurses and an unknown number of patients. They stole money and blood stocks and robbed several patients.,NSA,Unidentified armed actor,Group perpetrator,"Blunt, dagger, knife  and machetes",Health Worker Civilian ,ProbablyFemale,"Adult, Unspecified, ",Rape,Health workers experienced sexual violence,Mass SV assault,4,,25875
11/09/2020,Exact Date,DRC,COD,-1.437684803,28.06594919,"(3)District, Communicipality or Commune ",North Kivu,No information ,"September 2020: In North Kivu province, during an attack on the village Mai-Mai Kifuafua Delphin Mbaenda raped 11 women, wounded five men, set fire to houses, and stole goods",NSA,Mai Mai militia,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,11,,25876
12/09/2020,Exact Date,DRC,COD,-0.161636092,29.23338347,"(3)District, Communicipality or Commune ",North Kivu,No information ,"12 September 2020: armed combatants raped two women during an incursion in the village, abducted a businessman and stole farm animals and other goods.  (text analyzed via Smart Panel)",NSA,Mai Mai militia,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,2,,25877
04/10/2020,Exact Date,DRC,COD,-1.187125138,29.44576268,(1)Exact location,North Kivu,In captivity,"October 2020: In North Kivu province, a woman was kidnapped and raped by unidentified armed men who raided the town. They demanded a ransom of $10,000 for the woman's release. ",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Gang SV assault,1,,26288
06/10/2020,Exact Date,DRC,COD,-11.62443858,27.59685433,(2)25 km precision ,Haut-Katanga,Victims home ,"October 2020: In Haut-Katanga province, at least four girls were raped by a group of unidentified men dressed in blue uniforms. The perpetrators broke into various home and also shot and killed a university student. ",Police,DRC National Police,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,SV by security personnel,Mass SV assault,4,1,26323
03/10/2020,Exact Date,South Sudan,SSD,8.287598849,27.9821896,(1)Exact location,Warrap,"Street, road or field ","October 2020: In Warrap state, a 16 year-old girl was shot and then raped by an unknown gunman. ",NSA,Unidentified armed actor,Single perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,CRSV,Single rape/sv assault ,1,1,26324
08/10/2020,Year -The event occurred in this year,South Sudan,SSD,4.094411135,30.5640479,"(4)Province, State, Governorate ",Central Equatoria,No information ,"October 2020: In Central Equatoria State, 24 SSPDF soldiers were arrested and convicted of committing crimes of sexual violence between 2019 - 2020. They were charged with rape, looting, killing, and selling of weapons. ",State military,South Sudan People's Defence Force,Group perpetrator,Firearms,Civilian ,ProbablyFemale,"Adult, ",Rape,SV by security personnel,Mass SV assault,2,,26325
14/10/2020,Exact Date,South Sudan,SSD,4.412593189,32.56667312,"(3)District, Communicipality or Commune ",Eastern Equatoria,In captivity,"October 2020: In Eastern Equatoria state, a 45 year-old and 23 year-old women were abducted by three gunmen. The 23 year-old woman was raped whilst in captivity. The perpetrators also stole 172 goats, 14 of which were recovered. One perpetrator has been arrested. ",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Gang SV assault,1,,26326
25/10/2020,Exact Date,South Sudan,SSD,4.914350537,29.46583321,(1)Exact location,Western Equatoria,Police station ,"October 2020: In Western Equatoria State, two girls aged 14 and 15 years were raped by two police officers whilst being held at a police station. The two girls were given medical treatment. ",Police,South Sudan National Police Service,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,SV by security personnel,Mass SV assault,2,,26327
31/12/2020,Month- The event occurred within this month,Ethiopia,ETH,13.96605408,37.63916016,"(4)Province, State, Governorate ",Tigray,"Street, road or field ","December 2021: Near Tekeze river, Tigray region, a 25-year old woman was raped at gunpoint by an Ethiopian federal army soldier in December 2020. Five aid workers for international and Ethiopian aid groups have said they received multiple similar reports of abuse in Tigray. Women and girls in refugee camps within Ethiopia have been particularly targeted.",State military,Ethiopian National Defense Forces,Single perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Single rape/sv assault ,1,,26820
25/01/2021,Month- The event occurred within this month,Ethiopia,ETH,14.03509991,38.44015461,"(3)District, Communicipality or Commune ",Tigray,Victims home ,"January 2021: In Rawyan town, Tigray region, a woman was raped by three soldiers from the Amhara special forces who broke into her house.",NSA,Amhara Special Forces (Ethiopia),Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Gang SV assault,1,,26821
25/01/2021,Month- The event occurred within this month,Ethiopia,ETH,13.78659332,39.60239597,(1)Exact location,Tigray,No information ,"January 2021: In Tigray region, a woman was raped by Eritrean soldiers whilst her husband was forced to kneel and watched.",State military,Eritrean Defence Forces,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Gang SV assault,1,,26822
25/01/2021,Month- The event occurred within this month,Ethiopia,ETH,14.27735187,39.4610958,(1)Exact location,Tigray,No information ,"January 2021: In Tigray region, six women were raped by a group of soldiers and told not to seek help afterwards.",State military,Ethiopian National Defense Forces,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,6,,26823
25/01/2021,Month- The event occurred within this month,Ethiopia,ETH,13.49944677,39.47532845,(1)Exact location,Tigray,No information ,"January 2021: In Tigray region, a 19-yearold girl was raped by soldiers. A man who tried to intervene was beaten. Both victims were taken to hospital for medical attention",State military,Ethiopian National Defense Forces,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Gang SV assault,1,,26824
09/01/2021,Exact Date,Ethiopia,ETH,14.12059466,39.44641113,(2)25 km precision ,Tigray,"Street, road or field ","February 2021: In Tigray region, a 27-year-old woman and her sister were kidnapped and held in captivity for 15 days by Eritrean forces early January 2021. They were taken to a makeshift camp and repeatedly raped by at least 20 soldiers. The woman said she saw about eight other Tigrayan women being held at the camp and more women being brought in. The woman was able to escape from the camp, she was found lying in the road and taken to a hospital. Her sister reportedly may still be in Eritrean custody.",State military,Eritrean Defence Forces,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,8,,26826
22/01/2021,Exact Date,Ethiopia,ETH,14.13267537,37.78685936,"(4)Province, State, Governorate ",Tigray,No information ,"January 2021: In Tigray region, the UN has received a number of reports of sexual violence and abuse by military forces. Family members have been allegedly forced to rape members of their own family under threats of violence, women have been forced to have sex in exchange for basic commodities. While communications in the region are tightly constrained at this time, there has been an increased demand for emergency contraception and testing for sexually transmitted infections - often an indicator of sexual violence in conflict. ",State military,Ethiopian National Defense Forces,Group perpetrator,No information on weapons,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,3,,26834
12/11/2020,Exact Date,Nigeria,NGA,7.702537656,9.214699351,"(3)District, Communicipality or Commune ",Benue,Police station ,"November 2020: In Benue State, a 13-year-old secondary school girl was raped by a police officer in the Mobile Police Quarters. The incident triggered unrest by community members who vandalised the police station.",Police,Nigeria Police Force,Single perpetrator,No information on weapons,Civilian ,Female,"Minor, ",Rape,SV by security personnel,Single rape/sv assault ,1,,27669
29/12/2020,Exact Date,Nigeria,NGA,7.16122171,2.831101822,"(3)District, Communicipality or Commune ",Ogun,"Street, road or field ","December 2020: In Ogun state, a number of women were raped by Fulani herdsmen who attacked the village and burnt crops and houses.",Other,Fulani herdsmen,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,4,,27670
13/11/2020,Exact Date,DRC,COD,-4.020011195,27.53508555,(1)Exact location,Maniema,No information ,"November 2020: In Maniema province, a 16-year-old girl was raped by six suspected FARDC soldiers who also shot and injured three other civilians. ",State military,Forces Arm̩es de la R̩publique D̩mocratique du Congo,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,SV by security personnel,Gang SV assault,1,,27917
23/11/2020,Exact Date,DRC,COD,-1.331972294,28.76701377,(1)Exact location,North Kivu,No information ,"November 2020: In North Kivu province, three women were raped by unidentified armed men. The attackers also kidnapped two other civilians. ",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,3,,27918
